code,name,hex,equivalents
HTK-_213,Earth Red,#896b58,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30117""}, {""brand"": ""Humbrol"", ""code"": ""186""}, {""brand"": ""Testors"", ""code"": ""1701""}, {""brand"": ""Vallejo"", ""code"": ""71.293""}]"
HTK-_214,BS Dark Camouflage Grey,#8b8d93,"[{""brand"": ""British Standard"", ""code"": ""BS381C:629""}, {""brand"": ""Vallejo"", ""code"": ""71.273""}, {""brand"": ""Xtracolor"", ""code"": ""X036""}]"
HTK-_215,BS NATO (IRR) Green,#736f61,"[{""brand"": ""British Standard"", ""code"": ""BS381C:285""}, {""brand"": ""Xtracolor"", ""code"": ""X018""}]"
HTK-_216,BS Lichen Green,#9d9b8d,"[{""brand"": ""British Standard"", ""code"": ""BS4800""}, {""brand"": ""British Standard"", ""code"": ""12B.25""}, {""brand"": ""Xtracolor"", ""code"": ""X024""}, {""brand"": ""British Standard"", ""code"": ""BS4800/12B.25""}]"
HTK-_217,BS Light Aircraft Grey,#c2c1ba,"[{""brand"": ""British Standard"", ""code"": ""BS381C:627""}, {""brand"": ""Humbrol"", ""code"": ""166""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H332""}, {""brand"": ""Xtracolor"", ""code"": ""X015""}]"
HTK-_218,Blue Grey,#819098,"[{""brand"": ""Federal Standard"", ""code"": ""FS 35189""}, {""brand"": ""ANA"", ""code"": ""ANA 509""}, {""brand"": ""Humbrol"", ""code"": ""153""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H327""}, {""brand"": ""Testors"", ""code"": ""2055""}, {""brand"": ""Vallejo"", ""code"": ""71.109""}, {""brand"": ""Xtracolor"", ""code"": ""X162""}]"
HTK-_219,Insignia Red,#a03833,"[{""brand"": ""Federal Standard"", ""code"": ""FS 11136""}, {""brand"": ""ANA"", ""code"": ""ANA 509""}, {""brand"": ""Humbrol"", ""code"": ""153""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H327""}, {""brand"": ""Testors"", ""code"": ""1705""}, {""brand"": ""Vallejo"", ""code"": ""71.109""}, {""brand"": ""Xtracolor"", ""code"": ""X103""}]"
HTK-_220,True Blue,#5f7ca2,"[{""brand"": ""Federal Standard"", ""code"": ""FS 15102""}, {""brand"": ""ANA"", ""code"": ""ANA 501""}, {""brand"": ""Testors"", ""code"": ""2030""}, {""brand"": ""Xtracolor"", ""code"": ""X152""}]"
HTK-_221,Willow Green,#50874c,"[{""brand"": ""Federal Standard"", ""code"": ""FS 14187""}, {""brand"": ""ANA"", ""code"": ""ANA 503""}, {""brand"": ""Testors"", ""code"": ""2028""}, {""brand"": ""Vallejo"", ""code"": ""71.135""}, {""brand"": ""Xtracolor"", ""code"": ""X151""}]"
HTK-_222,Lemon Yellow,#f2d022,"[{""brand"": ""Federal Standard"", ""code"": ""FS 13655""}, {""brand"": ""ANA"", ""code"": ""ANA 505""}, {""brand"": ""Testors"", ""code"": ""2023""}, {""brand"": ""Vallejo"", ""code"": ""71.135""}, {""brand"": ""Xtracolor"", ""code"": ""X108""}]"
HTK-_223,Pigeon Blue,#808fa7,"[{""brand"": ""RAL"", ""code"": ""RAL 5014""}]"
HTK-_224,Black Grey,#777575,"[{""brand"": ""RAL"", ""code"": ""RAL 7021""}, {""brand"": ""Vallejo"", ""code"": ""71.056""}, {""brand"": ""Xtracolor"", ""code"": ""X262""}]"
HTK-_225,Green Grey,#807f77,"[{""brand"": ""RAL"", ""code"": ""RAL 7009""}, {""brand"": ""Vallejo"", ""code"": ""71.020""}, {""brand"": ""Xtracolor"", ""code"": ""X256""}]"
HTK-_226,Black Green,#5c6460,"[{""brand"": ""RAL"", ""code"": ""RAL 6012""}, {""brand"": ""Vallejo"", ""code"": ""71.018""}]"
HTK-_227,Dark Green-Blue,#2f90a4,[]
HTK-_228,Medium Green-Blue,#6bc6d7,[]
HTK-_229,Light Green-Blue,#8dd3ec,[]
HTK-_230,Dark Grey,#6f6f78,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36076""}, {""brand"": ""Testors"", ""code"": ""2034""}, {""brand"": ""Vallejo"", ""code"": ""71.048""}, {""brand"": ""Xtracolor"", ""code"": ""X128""}]"
HTK-_231,Fog Grey,#a5a7a7,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36293""}, {""brand"": ""Testors"", ""code"": ""2034""}, {""brand"": ""Vallejo"", ""code"": ""71.048""}, {""brand"": ""Xtracolor"", ""code"": ""X128""}]"
HTK-_232,Extra Dark Green,#8d8b83,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34064""}]"
HTK-_233,Stone Grey,#aaa69d,"[{""brand"": ""RAL"", ""code"": ""RAL 7030""}, {""brand"": ""Xtracolor"", ""code"": ""X257""}]"
HTK-_234,Sky Grey-Green,#b5bda5,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34424""}, {""brand"": ""ANA"", ""code"": ""ANA 610""}, {""brand"": ""Vallejo"", ""code"": ""71.321""}, {""brand"": ""Xtracolor"", ""code"": ""X166""}]"
HTK-_235,Dark Blue-Grey,#5f646b,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36099""}, {""brand"": ""Vallejo"", ""code"": ""71.053""}]"
HTK-_236,BS Olive Green,#8f917d,"[{""brand"": ""British Standard"", ""code"": ""BS381C:220""}, {""brand"": ""Xtracolor"", ""code"": ""X027""}]"
HTK-_237,BS Light Stone,#d1b58b,"[{""brand"": ""British Standard"", ""code"": ""BS381C:361""}, {""brand"": ""Vallejo"", ""code"": ""71.143""}, {""brand"": ""Xtracolor"", ""code"": ""X029""}]"
HTK-_238,Desert Tan,#c5b58f,"[{""brand"": ""Federal Standard"", ""code"": ""FS 33446""}, {""brand"": ""Vallejo"", ""code"": ""71.122""}, {""brand"": ""Xtracolor"", ""code"": ""X812""}]"
HTK-_239,Seafoam Green,#bdcba0,"[{""brand"": ""Federal Standard"", ""code"": ""FS 24533""}]"
HTK-_240,IJA Khaki (Khaki-iro),#c5ab76,"[{""brand"": ""Vallejo"", ""code"": ""71.287""}]"
HTK-_241,IJA Tea Brown (Cha-iro),#8b6948,"[{""brand"": ""Vallejo"", ""code"": ""71.035""}]"
HTK-_242,IJA Olive Green (Midori-iro),#53633f,"[{""brand"": ""Vallejo"", ""code"": ""71.134""}]"
HTK-_243,IJA Parched Grass (Karekusa-iro)Dunkelgelb,#ada15d,"[{""brand"": ""Vallejo"", ""code"": ""73.610""}]"
HTK-_244,,#c2b8a3,"[{""brand"": ""Gunze Sangyo"", ""code"": ""H403""}, {""brand"": ""Tamiya"", ""code"": ""XF60""}, {""brand"": ""Testors"", ""code"": ""2095""}, {""brand"": ""Vallejo"", ""code"": ""71.025""}, {""brand"": ""Xtracolor"", ""code"": ""X805""}, {""brand"": ""RAL"", ""code"": ""RAL 840""}]"
HTK-_245,Kenttävihreä,#606a56,[]
HTK-_246,Dark Moss Green,#535c50,"[{""brand"": ""Federal Standard"", ""code"": ""FS 14077""}]"
HTK-_247,Vaaleanvihreä,#636a51,[]
HTK-_248,Quartz Grey,#a29c95,"[{""brand"": ""RAL"", ""code"": ""RAL 7039""}, {""brand"": ""Xtracolor"", ""code"": ""X259""}]"
HTK-_249,Dusty Grey,#989694,"[{""brand"": ""RAL"", ""code"": ""RAL 7037""}, {""brand"": ""Xtracolor"", ""code"": ""X258""}]"
HTK-_250,Dunkelgelb,#b2a361,"[{""brand"": ""RAL"", ""code"": ""RAL 840""}]"
HTK-_251,4BO Protective Green,#666846,"[{""brand"": ""Testors"", ""code"": ""2129""}, {""brand"": ""Vallejo"", ""code"": ""71.017""}, {""brand"": ""Xtracolor"", ""code"": ""X811""}]"
HTK-_252,Military Dark Earth,#ad9a8a,[]
HTK-_253,MRG Stone,#cdbe96,[]
HTK-_254,Buffalo Green,#726d57,[]
HTK-_255,Bright Blue,#4379af,"[{""brand"": ""Federal Standard"", ""code"": ""FS 25183""}, {""brand"": ""Testors"", ""code"": ""2032""}, {""brand"": ""Xtracolor"", ""code"": ""X146""}]"
HTK-_256,Earth Brown,#95887c,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30099""}, {""brand"": ""Vallejo"", ""code"": ""71.290""}]"
HTK-_257,Uniform Brown,#8e7958,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30145""}]"
HTK-_258,Stone Yellow,#c5b384,"[{""brand"": ""Federal Standard"", ""code"": ""FS 33448""}]"
HTK-_259,Yellow Ochre,#d1ae3b,"[{""brand"": ""Federal Standard"", ""code"": ""FS 33434""}]"
HTK-_260,Greyish Green,#90978f,"[{""brand"": ""Federal Standard"", ""code"": ""FS 24112""}]"
HTK-_261,Greyish Sand,#ad9888,"[{""brand"": ""Federal Standard"", ""code"": ""FS 20227""}, {""brand"": ""British Standard"", ""code"": ""BS381C:389""}, {""brand"": ""Humbrol"", ""code"": ""168""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H336""}, {""brand"": ""Tamiya"", ""code"": ""XF57""}, {""brand"": ""Xtracolor"", ""code"": ""X016""}]"
HTK-_262,BS Camouflage Beige,#d4c8ad,"[{""brand"": ""Federal Standard"", ""code"": ""FS 20227""}, {""brand"": ""British Standard"", ""code"": ""BS381C:389""}, {""brand"": ""Humbrol"", ""code"": ""168""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H336""}, {""brand"": ""Tamiya"", ""code"": ""XF57""}, {""brand"": ""Xtracolor"", ""code"": ""X016""}]"
HTK-_263,Atlantic Grey,#7f8886,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36187""}]"
HTK-_264,Pearl Grey,#cfd4ce,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36493""}]"
HTK-_265,Neutral Grey,#7d838c,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36173""}, {""brand"": ""Testors"", ""code"": ""2035""}, {""brand"": ""Vallejo"", ""code"": ""71.051""}, {""brand"": ""Xtracolor"", ""code"": ""X158""}]"
HTK-_266,Bulkhead Grey,#a3a69b,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36307""}, {""brand"": ""Humbrol"", ""code"": ""141""}, {""brand"": ""Testors"", ""code"": ""1726""}, {""brand"": ""Xtracolor"", ""code"": ""X134""}]"
HTK-_267,Cloud Grey,#999997,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36280""}]"
HTK-_268,Luminous Red,#ed6b68,"[{""brand"": ""RAL"", ""code"": ""RAL 3024""}]"
HTK-_269,Sulphur Yellow,#eee236,"[{""brand"": ""RAL"", ""code"": ""RAL 1016""}, {""brand"": ""Vallejo"", ""code"": ""71.240""}]"
HTK-_270,Pearl Opal Green,#2d6e62,"[{""brand"": ""RAL"", ""code"": ""RAL 6036""}]"
HTK-_271,BS Deep Bronze Green,#646559,"[{""brand"": ""British Standard"", ""code"": ""BS381C:224""}, {""brand"": ""Xtracolor"", ""code"": ""X814""}]"
HTK-_272,Ultramarine Blue,#6877a1,"[{""brand"": ""RAL"", ""code"": ""RAL 5002""}, {""brand"": ""Vallejo"", ""code"": ""71.004""}]"
HTK-_273,Graphite Grey,#686b70,"[{""brand"": ""RAL"", ""code"": ""RAL 7024""}, {""brand"": ""Vallejo"", ""code"": ""71.054""}]"
HTK-_274,Cobalt Blue,#4f5670,"[{""brand"": ""RAL"", ""code"": ""RAL 5013""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H465""}, {""brand"": ""Vallejo"", ""code"": ""71.090""}]"
HTK-_275,BS Golden Yellow,#f3b82f,"[{""brand"": ""British Standard"", ""code"": ""BS381C:356""}, {""brand"": ""Vallejo"", ""code"": ""71.078""}, {""brand"": ""Xtracolor"", ""code"": ""X019""}]"
HTK-_276,BS Signal Red,#d27d78,"[{""brand"": ""British Standard"", ""code"": ""BS381C:537""}, {""brand"": ""Humbrol"", ""code"": ""238""}, {""brand"": ""Xtracolor"", ""code"": ""X014""}]"
HTK-_277,BS Roundel Blue,#5c5f83,"[{""brand"": ""British Standard"", ""code"": ""BS381C:110""}, {""brand"": ""Xtracolor"", ""code"": ""X030""}]"
HTK-_278,Sand Beige,#b9a883,"[{""brand"": ""Vallejo"", ""code"": ""71.244""}, {""brand"": ""RAL"", ""code"": ""RAL 1039""}]"
HTK-_279,Grey Beige,#ad9763,"[{""brand"": ""Vallejo"", ""code"": ""71.245""}, {""brand"": ""RAL"", ""code"": ""RAL 1040""}]"
HTK-_280,Sand Brown,#b59f8a,"[{""brand"": ""Vallejo"", ""code"": ""71.246""}, {""brand"": ""RAL"", ""code"": ""RAL 8031""}]"
HTK-_281,Light Olive,#79785b,"[{""brand"": ""Vallejo"", ""code"": ""71.247""}, {""brand"": ""RAL"", ""code"": ""RAL 6040""}]"
HTK-_282,Dutch Demo Orange (light),#eb8a26,"[{""brand"": ""Vallejo"", ""code"": ""71.247""}]"
HTK-_283,Dark Grey-Blue,#506a84,"[{""brand"": ""Federal Standard"", ""code"": ""FS 35250""}]"
HTK-_284,UN Blue,#8cbfdd,"[{""brand"": ""Federal Standard"", ""code"": ""FS 25530""}, {""brand"": ""Federal Standard"", ""code"": ""FS 35250""}]"
HTK-_285,Faded Blue-Grey,#c9d2d1,"[{""brand"": ""Federal Standard"", ""code"": ""FS 25530""}]"
HTK-_286,Danish Green,#727952,"[{""brand"": ""Federal Standard"", ""code"": ""FS 25530""}]"
HTK-_287,Grey Beige,#b6a38e,"[{""brand"": ""RAL"", ""code"": ""RAL 1019""}, {""brand"": ""Vallejo"", ""code"": ""71.028""}]"
HTK-_288,Fawn Brown,#a2846e,"[{""brand"": ""RAL"", ""code"": ""RAL 8007""}, {""brand"": ""Vallejo"", ""code"": ""71.007""}]"
HTK-_289,Fir Green,#4b5448,"[{""brand"": ""RAL"", ""code"": ""RAL 6009""}, {""brand"": ""Vallejo"", ""code"": ""71.007""}]"
HTK-_290,BS Lemon Yellow,#efbe21,"[{""brand"": ""British Standard"", ""code"": ""BS381C:355""}]"
HTK-_291,BS Cherry Red,#ae4e4e,"[{""brand"": ""British Standard"", ""code"": ""BS381C:538""}, {""brand"": ""Xtracolor"", ""code"": ""X031""}]"
HTK-_292,BS Oxford Blue,#57596e,"[{""brand"": ""British Standard"", ""code"": ""BS381C:105""}, {""brand"": ""Humbrol"", ""code"": ""104""}, {""brand"": ""Xtracolor"", ""code"": ""X023""}]"
HTK-_293,Extra Light Blue,#d6e2e5,"[{""brand"": ""Federal Standard"", ""code"": ""FS 25550""}]"
HTK-_294,Mustard,#89744f,[]
HTK-_295,Medium Tan,#d2c1a8,"[{""brand"": ""Federal Standard"", ""code"": ""FS 33522""}]"
HTK-_296,Faded Eggplant Grey,#b0b3bc,"[{""brand"": ""Testors"", ""code"": ""2100""}, {""brand"": ""Vallejo"", ""code"": ""71.420""}, {""brand"": ""Xtracolor"", ""code"": ""X801""}]"
HTK-_297,Erdgelb,#c38254,"[{""brand"": ""Testors"", ""code"": ""2100""}, {""brand"": ""Vallejo"", ""code"": ""71.420""}, {""brand"": ""Xtracolor"", ""code"": ""X801""}, {""brand"": ""RAL"", ""code"": ""RAL 840""}]"
HTK-_298,Grün,#5f644e,"[{""brand"": ""Vallejo"", ""code"": ""71.019""}, {""brand"": ""RAL"", ""code"": ""RAL 840""}]"
HTK-_299,Braun,#7f6d58,"[{""brand"": ""Vallejo"", ""code"": ""71.038""}, {""brand"": ""RAL"", ""code"": ""RAL 840""}]"
HTK-_300,Anthracite Grey,#7b7d7f,"[{""brand"": ""RAL"", ""code"": ""RAL 7016""}, {""brand"": ""Testors"", ""code"": ""2101""}, {""brand"": ""Vallejo"", ""code"": ""71.115""}, {""brand"": ""Xtracolor"", ""code"": ""X802""}]"
HTK-_301,Dark Olive Green,#5f6352,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34096""}, {""brand"": ""Testors"", ""code"": ""2027""}, {""brand"": ""Vallejo"", ""code"": ""71.092""}]"
HTK-_302,Gripen Grey,#aaaeae,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36373""}]"
HTK-_303,Green Brown,#9d8051,"[{""brand"": ""Testors"", ""code"": ""2099""}, {""brand"": ""Vallejo"", ""code"": ""71.272""}, {""brand"": ""Xtracolor"", ""code"": ""X803""}, {""brand"": ""RAL"", ""code"": ""RAL 8000""}]"
HTK-_304,Khaki Grey,#a49377,"[{""brand"": ""Testors"", ""code"": ""2098""}, {""brand"": ""Vallejo"", ""code"": ""71.116""}, {""brand"": ""Xtracolor"", ""code"": ""X804""}, {""brand"": ""RAL"", ""code"": ""RAL 7008""}]"
HTK-_305,Afrika Braun,#c7a077,"[{""brand"": ""Testors"", ""code"": ""2102""}, {""brand"": ""Vallejo"", ""code"": ""71.117""}, {""brand"": ""Xtracolor"", ""code"": ""X808""}, {""brand"": ""RAL"", ""code"": ""RAL 840""}]"
HTK-_306,Afrika Grau,#ba9c74,"[{""brand"": ""Testors"", ""code"": ""2103""}, {""brand"": ""Vallejo"", ""code"": ""71.118""}, {""brand"": ""Xtracolor"", ""code"": ""X809""}, {""brand"": ""RAL"", ""code"": ""RAL 840""}]"
HTK-_307,Cream,#efe9de,"[{""brand"": ""RAL"", ""code"": ""RAL 9001""}, {""brand"": ""Testors"", ""code"": ""2104""}, {""brand"": ""Vallejo"", ""code"": ""71.270""}, {""brand"": ""Xtracolor"", ""code"": ""X818""}]"
HTK-_308,BS Middle Brown,#a58b7a,"[{""brand"": ""British Standard"", ""code"": ""BS381C:411""}]"
HTK-_309,Grass Green,#62824c,"[{""brand"": ""RAL"", ""code"": ""RAL 6010""}]"
HTK-_310,Dunkelgelb nach Muster,#c8ae43,"[{""brand"": ""RAL"", ""code"": ""RAL 6010""}]"
HTK-_311,Green,#4d4f3c,"[{""brand"": ""RLM"", ""code"": ""RLM-72""}, {""brand"": ""Humbrol"", ""code"": ""243""}, {""brand"": ""Testors"", ""code"": ""2082""}, {""brand"": ""Vallejo"", ""code"": ""71.263""}, {""brand"": ""Xtracolor"", ""code"": ""X222""}]"
HTK-_312,Green,#616a61,"[{""brand"": ""RLM"", ""code"": ""RLM-73""}, {""brand"": ""Humbrol"", ""code"": ""244""}, {""brand"": ""Testors"", ""code"": ""2083""}, {""brand"": ""Vallejo"", ""code"": ""71.256""}, {""brand"": ""Xtracolor"", ""code"": ""X223""}]"
HTK-_313,Grey-Green,#585a52,"[{""brand"": ""RLM"", ""code"": ""RLM-74""}, {""brand"": ""Humbrol"", ""code"": ""245""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H68""}, {""brand"": ""Testors"", ""code"": ""2084""}, {""brand"": ""Vallejo"", ""code"": ""71.258""}, {""brand"": ""Xtracolor"", ""code"": ""X206""}]"
HTK-_314,Light Blue,#9eb2b4,"[{""brand"": ""RLM"", ""code"": ""RLM-78""}, {""brand"": ""Humbrol"", ""code"": ""248""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H418""}, {""brand"": ""Testors"", ""code"": ""2087""}, {""brand"": ""Vallejo"", ""code"": ""71.101""}, {""brand"": ""Xtracolor"", ""code"": ""X214""}]"
HTK-_315,Forest Green,#6a6c46,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34127""}, {""brand"": ""Humbrol"", ""code"": ""150""}, {""brand"": ""Testors"", ""code"": ""1714""}]"
HTK-_316,ZO Protective Green,#9d9078,[]
HTK-_317,Dark Brown 6K,#825e50,"[{""brand"": ""Vallejo"", ""code"": ""71.282""}]"
HTK-_318,Sand 7K,#b18d54,"[{""brand"": ""Vallejo"", ""code"": ""71.283""}]"
HTK-_319,Light Sea Blue,#77c1d6,"[{""brand"": ""Federal Standard"", ""code"": ""FS 25200""}]"
HTK-_320,Medium Sea Blue,#79bad7,[]
HTK-_321,Extra Light Sea Blue,#d4e9f6,[]
HTK-_322,RAF Anti-Flash White,#f8f8f3,[]
HTK-_323,Sand Grey,#bfb29b,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30372""}, {""brand"": ""Vallejo"", ""code"": ""71.122""}]"
HTK-_324,Swedish Dk Green,#5a6053,[]
HTK-_325,Swedish Lt Green,#6b795e,[]
HTK-_326,BS Mid Bronze Green,#5e5e46,"[{""brand"": ""British Standard"", ""code"": ""BS381C:223""}, {""brand"": ""Xtracolor"", ""code"": ""X815""}]"
HTK-_327,Radome Green,#2a7951,[]
HTK-_328,Pale Blue,#c0dfe8,"[{""brand"": ""Vallejo"", ""code"": ""71.334""}]"
HTK-_329,Radome Tan,#f1d3aa,"[{""brand"": ""Federal Standard"", ""code"": ""FS 33613""}, {""brand"": ""Humbrol"", ""code"": ""148""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H318""}, {""brand"": ""Testors"", ""code"": ""1709""}, {""brand"": ""Vallejo"", ""code"": ""71.074""}, {""brand"": ""Xtracolor"", ""code"": ""X107""}]"
HTK-_330,Zinc Chromate Primer,#e1e262,"[{""brand"": ""Xtracolor"", ""code"": ""X408""}]"
HTK-_331,Flesh,#fbd5af,"[{""brand"": ""Humbrol"", ""code"": ""61""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H44""}, {""brand"": ""Tamiya"", ""code"": ""XF15""}, {""brand"": ""Vallejo"", ""code"": ""71.076""}, {""brand"": ""Xtracolor"", ""code"": ""X406""}]"
HTK-_501,507A RN Dark Grey,#5c656f,"[{""brand"": ""Testors"", ""code"": ""2169""}]"
HTK-_502,507B RN Medium Grey,#849099,"[{""brand"": ""Tamiya"", ""code"": ""XF80""}, {""brand"": ""Testors"", ""code"": ""2171""}]"
HTK-_503,507C RN Light Grey,#cfd1d6,"[{""brand"": ""Tamiya"", ""code"": ""XF80""}, {""brand"": ""Testors"", ""code"": ""2170""}]"
HTK-_504,B5 RN Dark Blue-Grey,#838f98,[]
HTK-_505,B6 RN Medium Blue,#aec7d6,[]
HTK-_506,MS1 RN Blue-Black,#454d56,[]
HTK-_507,MS2 RN Dark Grey,#7a7b7d,[]
HTK-_508,MS3 RN Medium Green-Grey,#abbab6,[]
HTK-_509,MS4 RN Light Grey (Warm),#bdbeb0,[]
HTK-_510,MS4A RN Light Grey-Green,#c2cec3,[]
HTK-_511,RN Western Approaches Blue,#d7e5e8,[]
HTK-_512,RN Western Approaches Green,#70b696,[]
HTK-_513,G5 RN Extra Dark Grey,#55565d,[]
HTK-_514,G10 RN Dark Grey,#73777f,[]
HTK-_515,G20 RN Medium Green-Grey,#87866f,[]
HTK-_516,G45 RN Light Grey (Warm),#c4c1b2,[]
HTK-_517,B15 RN Dark Grey-Blue,#556d7d,[]
HTK-_518,B20 RN Medium Grey-Blue,#6e7e83,[]
HTK-_519,B30 RN Medium Green-Blue,#a9aa9c,[]
HTK-_520,B55 RN Light Green-Blue,#cbc6bd,[]
HTK-_521,PB10 RN Deep Blue,#3b4e71,[]
HTK-_522,Semtex (early WW2),#ecead9,[]
HTK-_523,Semtex (late WW2),#3e6c50,[]
HTK-_524,Corticene,#a47154,[]
HTK-_525,RN Antifouling Red,#b05a55,[]
HTK-_526,RN Light Mountbatten Pink,#8d7778,[]
HTK-_527,RN Dark Mountbatten Pink,#7c6c6f,[]
HTK-_528,RN White,#fdfcf8,[]
HTK-_701,,,"[{""brand"": ""RAL"", ""code"": ""RAL 7031""}, {""brand"": ""Humbrol"", ""code"": ""27""}]"
HTK-_702,,,"[{""brand"": ""RAL"", ""code"": ""RAL 6018""}]"
HTK-_703,,,"[{""brand"": ""RAL"", ""code"": ""RAL 6029""}]"
HTK-_704,,,"[{""brand"": ""RAL"", ""code"": ""RAL 2004""}, {""brand"": ""Humbrol"", ""code"": ""18""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H14""}, {""brand"": ""Tamiya"", ""code"": ""X6""}, {""brand"": ""Testors"", ""code"": ""1527""}]"
HTK-_705,,,"[{""brand"": ""RAL"", ""code"": ""RAL 2008""}]"
HTK-_706,,,"[{""brand"": ""RAL"", ""code"": ""RAL 6019""}]"
HTK-_707,,,"[{""brand"": ""RAL"", ""code"": ""RAL 1021""}]"
HTK-_708,,,"[{""brand"": ""RAL"", ""code"": ""RAL 6005""}]"
HTK-_709,,,"[{""brand"": ""RAL"", ""code"": ""RAL 6027""}]"
HTK-_710,,,"[{""brand"": ""RAL"", ""code"": ""RAL 5010""}, {""brand"": ""Vallejo"", ""code"": ""71.088""}]"
HTK-_711,,,[]
HTK-_712,,,[]
HTK-_713,,,"[{""brand"": ""RAL"", ""code"": ""RAL 7042""}]"
